Unnamed: 0,review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes,product_name
166,R1RRAROYGH5G7T,B09H27SXHS,5.0 out of 5 stars Decent,Pacheng  Vang,5,Love everything else but not the fit. It's just not that comfortable.,"Reviewed in the United States May 20, 2022",AEAJ7RHX3K7EV46QSTLWEI46UVPQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
167,R15VP4AH1AI32Y,B09H27SXHS,1.0 out of 5 stars Barely used and no sound from the left,V-Potter,1,"These are uncomfortable and don't stay in place. This is a problem because touching it to readjust it means I have to go to my phone and manually go back to where I was in my audio book.The left side no longer has sound. It is connected and when I touch it, it triggers the controls. It doesn't do what it is supposed to but it does some random thing.I have tried all trouble shooting suggestions and concluded the product is junk.","Reviewed in the United States June 12, 2022",AEAGB7EVCRUAQXNIGCK3NLNDQAEQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
168,R7BKYA01YMOM,B09H27SXHS,5.0 out of 5 stars 2 pairs only left side works horrible,Mike,5,Got 2 pairs only one side works even after reset....,"Reviewed in the United States June 9, 2022",AEDMCRO44HLKH5NEJ2RXSOT4PPLA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
169,R1MAG79QWI6CWR,B09H27SXHS,5.0 out of 5 stars Good customer service from HTC,jesse v.,5,HTC reached and replaced my buds. Replacements are great. Thank you,"Reviewed in the United States April 29, 2022",AHORTQEGMDCNYNN5MZADMCCMXKQA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
170,R2KMBO7ZVHVP5T,B09H27SXHS,5.0 out of 5 stars Nice Earbuds,Kirk Benson,5,So far so good these earbuds are comfortable and good no background noise another plus is the sound is pretty good.,"Reviewed in the United States December 6, 2021",AFGBCEFRGKBAYASP7SN73KMGXLNA,1,1,Color: Black,HTC Wireless Headphones Bluetooth 5.1
171,R22N35UQIWB27O,B09H27SXHS,2.0 out of 5 stars Faulty manufacturing,Joseph Maitre,2,"Product stopped working ordered replacement. They work fine.. preset good actually, but overall the hassle n time to replace so that took away some points.","Reviewed in the United States March 17, 2022",AGIF3C7UIW2PP5N5ZHX6QYLQW7IQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
172,R13N42U7AH771O,B09H27SXHS,5.0 out of 5 stars These are better then everything else I've gotten,Dwayne,5,Better then apple headphones AND my bose,"Reviewed in the United States June 21, 2022",AHTVEJZSVYZE7IR5FU4UZMGYXUZQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
173,R37QFLG4IJJWG1,B09H27SXHS,1.0 out of 5 stars Annoying piece of tech,Alistair Schneider,1,They fall from the ear. When they pop out the ear you push them back in they go on mute. They dont connect easilly automatically to things like computer. A stupid piece of device. Stopped using them after 2 days. Buy more expensive in the end it will be cheaper for you and less annoying. Engineers who develop these things need ti test with real humans and not fall in love with their tech complexity. Complexity is not cool. Sorry. A bad purchase for sure.,"Reviewed in the United States December 6, 2021",AFRSQIODEZPWHGO2HQPRTEGKNOGA,1,1,Color: Black,HTC Wireless Headphones Bluetooth 5.1
174,R1EH673E79A0VE,B09H27SXHS,5.0 out of 5 stars Good quality low price !,Gabriela Allred,5,Good quality and low price,"Reviewed in the United States May 14, 2022",AHYQR26BOG7YWGOXJCG2WNH6Z5OQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
175,R2ISI3S6BPE2RR,B09H27SXHS,5.0 out of 5 stars Just what I was looking for. Nice quality and very durable,TREMELL T COOPER,5,Just what I was looking for.,"Reviewed in the United States April 11, 2022",AHWVJVFTQX5WMONC7N4YZCRYC77Q,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
176,R36UWZGX8DSIDX,B09H27SXHS,"1.0 out of 5 stars Poor range, sound constantly cuts off, one pair died after a month",Chris Barley,1,If you walk more the a couple feet from your phone they start cutting out. I bought a second pair because I thought I lost my first one. The second pair died after a month just outside the Amazon return window. Also just sitting there listening sometimes they just cut in and out like they are out of range.,"Reviewed in the United States August 11, 2022",AH4JKQPZ7NJMH2X33TJU74OWDOHQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
177,R1BXQF8EHEJ3WR,B09H27SXHS,5.0 out of 5 stars Simple and good quality,Amanda D,5,Best bang for your buck. Surround sound quality is perfect.,"Reviewed in the United States January 8, 2022",AFGVZQKAWGWPEPQJ7JFVHW4J6PKA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
178,RDTN05Q6I3Y0U,B09H27SXHS,5.0 out of 5 stars Affordable and good quality,Ale Fernandez,5,Very good quality sound and battery lasts.,"Reviewed in the United States February 27, 2022",AF4GHVDIITO7PGACOEZKXJEAJSMA,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
179,R2MFQH0IECOMLN,B09H27SXHS,1.0 out of 5 stars I tried HARD but couldn't anymore,Speak the Truth,1,"Today was the day to update this review. I bought these headphones on the 21st of November. Unfortunately, I had a funeral for the right ear today becasue it just stopped working. The headsets once had clarity and people had no issues hearing me. However, they are still hard on the ears because they don't seem to fit well and my ears hurt at the end of the day.","Reviewed in the United States December 1, 2021",AFYWCKUG7JMJWK4YZ6P5MESGL27Q,1,1,Color: Black,HTC Wireless Headphones Bluetooth 5.1
180,R18WSUC990D3CB,B09H27SXHS,1.0 out of 5 stars Unuasable,Kasey,1,"They only worked for maybe a full week. Now they will connect to my phone, but after maybe 3 minutes, one of the buds will disconnect and get stuck in a connection cycle. Tried to delete and resync them several times but it never fixes both buds, only 1 each time. Spend money on quality guys.","Reviewed in the United States March 2, 2022",AGJHNNWANYDT4HL46GVLJPM3GFUQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
181,R2ARBIY1TG0XY,B09H27SXHS,5.0 out of 5 stars Very nice for the money,Billy,5,My teenage daughter loves them !,"Reviewed in the United States January 12, 2022",AFG6HSZUNL4L5WDWJ6ZPHRF6R7NQ,1,0,Color: Black,HTC Wireless Headphones Bluetooth 5.1
